rank,production_budget_usd,worldwide_gross_usd
1,400000000,2797800564.00
2,379000000,1045713802.00
3,365000000,1395316979.00
4,306000000,2064615817.00
5,300000000,960996492.00
6,300000000,879500760.00
7,300000000,2044540523.00
8,300000000,655945209.00
9,275000000,1072848487.00
10,275000000,393151347.00
11,263700000,282778100.00
12,263000000,872395091.00
13,260000000,585574317.00
14,260000000,1654381934.00
15,258000000,894860230.00
16,250000000,930673167.00
17,250000000,960115124.00
18,250000000,942246938.00
19,250000000,1151918521.00
20,250000000,1236703796.00
